# Header line
# Header line
# Header line

Date	Time	Vx	Vy	Vz	X
		m/s	m/s	m/s	m/s
03-01-2005 23:20:00.000       5.96300         -4.43000          3.23600         -2.22000
03-01-2005 23:24:00.000       5.74300         -2.85500          2.80600         -4.03600
03-01-2005 23:28:00.000       5.90100         -1.51700          3.87000         -3.82000
03-01-2005 23:32:00.000       6.08800         -2.02300          4.35300         -3.11600
03-01-2005 23:36:00.000       5.89000         -1.57500          4.66600         -2.48300
03-01-2005 23:40:00.000       5.86000         -4.16500          2.90500          1.05700
03-01-2005 23:44:00.000       5.78300         -2.45800          4.86400        -0.896000
03-01-2005 23:48:00.000       5.37300         -4.08300          1.34700          1.87800
03-01-2005 23:52:00.000       5.70300         -4.29600          2.88000        -0.490000
03-01-2005 23:56:00.000       5.78900         -3.52800          3.12100         -2.38300
04-01-2005 00:00:00.000       5.78400         -2.42500         -2.42500         -2.42500

Footer line
